t,mx,my,mz,mxb,myb,mzb 
1.5402203988588E13,6.9244385,3.2836914,456.99463,1.0238647,68.74237,496.78802
1.540222413019E13,6.6223145,3.5614014,455.7251,1.0238647,68.74237,496.78802
1.5402244271791E13,6.222534,3.8024902,455.17578,1.0238647,68.74237,496.78802
1.5402264413393E13,6.3217163,3.3035278,454.68903,1.0238647,68.74237,496.78802
1.5402284554995E13,6.4956665,3.038025,455.60455,1.0238647,68.74237,496.78802
1.5402304696596E13,6.5689087,3.111267,456.52924,1.0238647,68.74237,496.78802
1.5402324838198E13,6.5689087,3.5385132,455.69153,1.0238647,68.74237,496.78802
1.5402344979799E13,6.7825317,4.017639,454.75616,1.0238647,68.74237,496.78802
1.5402365121401E13,6.9137573,4.1488647,454.4983,1.0238647,68.74237,496.78802
1.5402385263002E13,6.111145,3.804016,453.9383,1.0238647,68.74237,496.78802
1.5402405404604E13,6.5063477,4.890442,454.21448,1.0238647,68.74237,496.78802
1.5402425546205E13,6.9137573,5.531311,454.4983,1.0238647,68.74237,496.78802
1.5402445687807E13,5.9387207,4.798889,454.26025,1.0238647,68.74237,496.78802
1.5402465829409E13,6.3842773,4.6157837,453.56293,1.0238647,68.74237,496.78802
1.540248597101E13,6.741333,4.6676636,453.31268,1.0238647,68.74237,496.78802
1.5402506112612E13,7.646179,4.2785645,453.44086,1.0238647,68.74237,496.78802
1.5402526254213E13,7.3028564,5.053711,452.84882,1.0238647,68.74237,496.78802
1.5402546395815E13,7.0861816,5.3588867,452.6352,1.0238647,68.74237,496.78802
1.5402566537416E13,7.2235107,5.769348,453.30658,1.0238647,68.74237,496.78802
1.5402586679018E13,7.9437256,6.286621,452.8122,1.0238647,68.74237,496.78802
1.540260682062E13,8.123779,6.3949585,452.6352,1.0238647,68.74237,496.78802
1.5402626962221E13,7.545471,5.2383423,452.919,1.0238647,68.74237,496.78802
1.5402647103823E13,8.152771,6.3095093,450.85602,1.0238647,68.74237,496.78802
1.5402667245424E13,8.296204,6.5689087,450.43335,1.0238647,68.74237,496.78802
1.5402687387026E13,8.296204,5.659485,451.02692,1.0238647,68.74237,496.78802
1.5402707528627E13,7.38678,6.742859,452.00348,1.0238647,68.74237,496.78802
1.5402727670229E13,7.260132,6.9137573,452.12708,1.0238647,68.74237,496.78802
1.540274781183E13,8.056641,8.349609,450.7202,1.0238647,68.74237,496.78802
1.5402767953432E13,7.3287964,7.0373535,450.7599,1.0238647,68.74237,496.78802
1.5402788095034E13,7.260132,6.9137573,450.7721,1.0238647,68.74237,496.78802
1.5402808236635E13,6.9244385,6.57959,450.7721,1.0238647,68.74237,496.78802
1.5402828378237E13,8.242798,6.9000244,451.09863,1.0238647,68.74237,496.78802
1.5402848519838E13,8.296204,6.9137573,451.11084,1.0238647,68.74237,496.78802
